Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
787,7.858571918,0.915588805,0.00224599,,15863.09297,424.0976184,5559.917313
788,6.942603956,1.460167727,0.003644329,,25547.66986,101.525598,3138.428377
789,8.443572662,1.533079232,0.004711813,,88197.48526,513.1581182,11918.17654
790,6.121775709,0.849955074,-0.00616293,433,1948.7171,92.29599818,92.29599818
791,7.943503667,1.027314423,0.001349081,,23225.15442,424.0976184,1771.561
792,6.292861544,0.538381517,-0.000206639,865,1210,92.29599818,92.29599818
793,10.25170484,1.21402699,0.001851985,,334929.8035,751.3148009,25547.66986
794,6.735606623,0.459343399,-0.000466829,,2853.116706,289.6643797,683.0134554
795,7.951692153,1.34761609,0.003014364,,45259.25557,424.0976184,1210
796,7.439816503,0.875677222,-0.002259826,,8140.274939,179.8587899,564.4739301
797,7.297565345,1.279784013,-0.003401065,,34003.94859,148.643628,466.5073802
798,6.085382984,0.69685034,-0.007586243,295,1610.51,92.29599818,92.29599818
799,8.576492753,1.164879134,0.002389645,,72890.48369,424.0976184,66264.07608
800,5.977146683,0.543421035,-0.006497068,249,1100,92.29599818,92.29599818
801,6.094088744,0.712814464,-0.01044316,215,1771.561,92.29599818,92.29599818
802,7.384972683,0.948237952,0.002623935,,13109.99419,289.6643797,8140.274939
803,6.710850732,0.633590196,0.000101108,,2853.116706,148.643628,2143.58881
804,6.017259187,0.887305723,-0.009415747,305,1771.561,92.29599818,92.29599818
805,6.719819713,0.689470128,-0.004763325,283,1948.7171,92.29599818,92.29599818
806,7.983874812,0.937339078,0.000920705,,25547.66986,466.5073802,683.0134554
807,7.400397507,0.913053091,-0.001550168,,9849.732676,289.6643797,466.5073802
808,6.369883492,0.685866441,-0.003686832,543,1948.7171,92.29599818,92.29599818
809,7.953786883,1.155108633,0.003605863,,37404.34344,385.5432894,21113.77675
810,7.515607615,0.732055797,0.000228217,,8954.302433,466.5073802,1210
811,6.563294007,0.823366851,-0.002481009,963,3138.428377,92.29599818,92.29599818
812,10.93820474,1.751321635,0.005524146,,593348.5776,683.0134554,304481.6395
813,7.109887128,0.841769102,-0.000694666,769,9849.732676,92.29599818,92.29599818
814,6.346748706,0.682541567,-0.001485944,,2593.74246,101.525598,179.8587899
815,7.966355258,0.975730292,0.001416691,,28102.43685,263.3312543,318.6308177
816,6.494709278,0.761837634,-0.001935369,901,3797.498336,92.29599818,92.29599818
817,5.94422893,0.687831764,-0.017260353,127,1100,92.29599818,92.29599818
818,6.681524523,0.77086346,0.000285342,,5559.917313,135.1305709,385.5432894
819,6.340858272,0.873951321,-0.01489472,191,1948.7171,92.29599818,92.29599818
820,5.70655224,0.71423453,-0.011723669,193,1100,92.29599818,92.29599818
821,6.440081308,0.858368435,-0.006436711,407,5054.470285,92.29599818,92.29599818
822,7.396969768,0.672659784,0.001366037,,9849.732676,318.6308177,3797.498336
823,6.745128119,0.630503231,0.001049155,,3452.271214,197.8446689,826.446281
824,8.161926796,1.066429131,0.002940012,,28102.43685,620.9213231,14420.99361
825,6.534947353,0.939524341,-0.000773889,971,5054.470285,92.29599818,92.29599818
826,6.183977146,0.516363742,-0.003732007,361,1100,92.29599818,92.29599818
827,6.474348906,1.091657726,-0.001077588,971,7400.249944,92.29599818,92.29599818
828,9.891220987,1.019982613,0.003020241,,129129.9382,1000,25547.66986
829,6.614302757,0.684319219,0.001695704,,3138.428377,122.8459736,2143.58881
830,9.122645791,0.976540852,-0.001290225,,54763.69924,683.0134554,4594.972986
831,6.402512814,0.887215801,-0.003201406,773,3138.428377,92.29599818,92.29599818
